ofqual_id,overview,unit_id,unit_title,unit_description,unit_learning_outcomes,qualification_type,qualification_level,assessment_methods,sector_subject_area,awarding_organisation,total_credits,guided_learning_hours,total_qualification_time,awarding_organization
601/0717/0,This vocationally related qualification has been designed by City & Guilds in order to meet the needs of learners who work or want to work as professional chefs in the catering and hospitality sector.,L/601/6506,Produce hot and cold desserts and puddings,"This unit covers the preparation, cooking and finishing of hot and cold desserts and puddings for service in restaurants.","1. Be able to prepare and cook cold desserts
  - Prepare and cook cold desserts using correct equipment
  - Apply quality points to each stage of the process
2. Be able to finish cold desserts
  - Finish and present cold desserts using correct equipment
  - Check the finished product meets dish requirements
3. Be able to prepare and cook hot desserts and puddings
  - Prepare and cook hot desserts and puddings using correct equipment
  - Apply quality points to each stage of the process
4. Be able to finish hot desserts and puddings
  - Finish and present hot desserts and puddings using correct equipment
  - Check the finished product meets dish requirements",Vocationally-Related Qualification,Level 2,"Practical Demonstration/Assignment, Practical Examination",Hospitality and catering,/organisations/RN5217,66.0,438.0,660.0,City and Guilds of London Institute
601/0717/0,This vocationally related qualification has been designed by City & Guilds in order to meet the needs of learners who work or want to work as professional chefs in the catering and hospitality sector.,Y/601/6508,Produce paste products,"This unit provides the opportunity for learners to develop their knowledge, understanding and skills to prepare, cook and finish paste products for service.","1. Be able to prepare and cook paste products
  - Use correct tools and equipment to prepare and cook paste products
  - Demonstrate safe and hygienic practices
2. Be able to finish paste products
  - Use tools and equipment in the finishing of paste products
  - Finish and present paste products",Vocationally-Related Qualification,Level 2,"Practical Demonstration/Assignment, Practical Examination",Hospitality and catering,/organisations/RN5217,66.0,438.0,660.0,City and Guilds of London Institute
601/0717/0,This vocationally related qualification has been designed by City & Guilds in order to meet the needs of learners who work or want to work as professional chefs in the catering and hospitality sector.,A/601/6503,"Produce biscuit, cake and sponge products","This unit provides the opportunity for learners to develop their knowledge, understanding and skills to prepare, cook and finish biscuit, cake and sponge products for service.","1. Be able to prepare and cook biscuit, cake and sponge products
  - Prepare biscuit products for baking
  - Prepare and cook cake and sponge mixtures for baking
2. Be able to finish biscuit, cake and sponge products
  - Use tools and equipment in the finishing of biscuit, cake and sponge products
  - Finish and present biscuit, cake and sponge products",Vocationally-Related Qualification,Level 2,"Practical Demonstration/Assignment, Practical Examination",Hospitality and catering,/organisations/RN5217,66.0,438.0,660.0,City and Guilds of London Institute
601/0717/0,This vocationally related qualification has been designed by City & Guilds in order to meet the needs of learners who work or want to work as professional chefs in the catering and hospitality sector.,J/601/6505,Produce fermented dough products,"This unit covers preparing, cooking and finishing of fermented dough products for service in restaurants and to paying customers.","1. Be able to prepare and cook fermented dough products
  - Prepare fermented dough products for baking
  - Use correct tools and equipment to prepare and cook fermented dough products
2. Be able to finish fermented dough products
  - Use correct tools and equipment in the finishing of fermented dough products
  - Finish and present fermented dough products",Vocationally-Related Qualification,Level 2,"Practical Demonstration/Assignment, Practical Examination",Hospitality and catering,/organisations/RN5217,66.0,438.0,660.0,City and Guilds of London Institute
500/7960/8,Lefel 2 Dyfarniad mewn Sgiliau Barista (Level 2 Award in Skills Barista) is designed to provide learners with the skills and knowledge required to work effectively in the role of a barista.,D/601/5313,Aseiniad 201 Sgiliau Barista,"This unit covers the skills and knowledge required to prepare and serve coffee beverages, comply with health and safety regulations, and provide excellent customer service in a café environment.","1. Demonstrate knowledge of coffee products and their preparation.
  - Identify different types of coffee beans and brewing methods.
  - Explain the importance of product knowledge in customer service.
2. Prepare a range of coffee drinks to company standards.
  - Show proficiency in using coffee machines and equipment.
  - Demonstrate the ability to produce a variety of coffee drinks accurately and efficiently.
3. Maintain cleanliness and hygiene standards in the workspace.
  - Follow appropriate cleaning techniques and procedures.
  - Ensure equipment is maintained and sanitized.
4. Provide excellent customer service.
  - Communicate effectively with customers.
  - Handle payment transactions and respond to customer feedback.",Occupational Qualification,Level 2,Practical Demonstration/Assignment,Hospitality and catering,/organisations/RN5217,2.0,20.0,20.0,City and Guilds of London Institute
603/4162/2,Level 3 NVQ Diploma in Professional Cookery covering extensive culinary competencies and assessments across various units.,D/601/5313,"Maintain Food Safety When Storing, Preparing and Cooking Food",This unit focuses on maintaining food safety practices within various culinary processes.,"1. Be able to keep self clean and hygienic
  - Wear clean and hygienic clothes appropriate to the job
  - Change clothes when necessary
  - Wash hands thoroughly at appropriate times
2. Know how to keep self clean and hygienic
  - State why clean and hygienic clothes must be worn
  - State the importance of washing hands at appropriate times",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,Level 3 NVQ Diploma in Professional Cookery covering extensive culinary competencies and assessments across various units.,HSL2/302,Develop Productive Working Relationships with Colleagues,This unit teaches the dynamics of teamwork and communication in culinary settings.,"1. Develop productive working relationships with colleagues
  - Recognise, agree, and respect the roles and responsibilities of colleagues
  - Fulfill agreements made with colleagues",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,Level 3 NVQ Diploma in Professional Cookery covering extensive culinary competencies and assessments across various units.,HSL4/304,"Maintain the Health, Hygiene, Safety, and Security of the Working Environment",Focuses on maintaining hygiene and safety standards in the culinary workplace.,"1. Be able to maintain the health and safety standards
  - Make sure colleagues have relevant information on hygiene and safety issues
  - Monitor tasks for health and safety compliance",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,Level 3 NVQ Diploma in Professional Cookery covering extensive culinary competencies and assessments across various units.,3FP4/335,Prepare Poultry for Complex Dishes,Involves skilled preparation techniques for various poultry types before cooking.,"1. Be able to prepare poultry for complex dishes
  - Select and check poultry quality standards
  - Choose appropriate tools and equipment for preparation",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,Level 3 NVQ Diploma in Professional Cookery covering extensive culinary competencies and assessments across various units.,3FP1/332,Prepare Fish for Complex Dishes,Covers the techniques required to prepare various fish types for complex culinary dishes.,"1. Be able to prepare fish for complex dishes
  - Select the type and quantity of fish needed
  - Choose appropriate tools and techniques for preparation",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,Level 3 NVQ Diploma in Professional Cookery covering extensive culinary competencies and assessments across various units.,HSL9/309,Contribute to the Development of Recipes and Menus,Focuses on understanding how to develop innovative menu items that appeal to culinary trends.,"1. Be able to contribute to the development of recipes and menus
  - Calculate ingredient ratios and cooking times for recipes
  - Gather and evaluate feedback on menu items",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
600/6642/8,This qualification allows candidates to learn and develop the knowledge required for employment and/or career progression in the Hospitality and Catering sector.,F/504/2235,Understanding leadership and management in hospitality organisations,This unit has been devised to assess the candidate’s ability to recognise the difference between leadership and management and the impact that these two different concepts have when applied to hospitality contexts.,"1. Understand the difference between leading and managing teams
  - explain the differences between ‘leadership’ and ‘management’
  - compare the behaviours that are associated with effective leadership
  - explain how leadership and management styles can be adapted to respond to particular work situations.
2. Understand commonly applied theoretical concepts which describe human nature and managerial behaviour in the workplace
  - analyse models which make suppositions about human nature and behaviour at work
  - explain how attitudes and assumptions can influence managerial behaviour.
3. Understand how management style can influence managerial behaviour
  - analyse models that illustrate different management styles
  - explain measures of managerial effectiveness
  - explain links between management style and managerial effectiveness and efficiency
  - explain how managerial effectiveness can be readily maximised in hospitality contexts.
4. Understand how to apply managerial styles in hospitality contexts
  - identify how the customer interface in hospitality businesses can directly impact on management styles and behaviour
  - review situations and circumstances which require application of differing management styles and behaviour
  - compare the relationships between individual managerial performance and expected organisational managerial performance and behaviour.",Vocationally-Related Qualification,Level 4,Practical Demonstration/Assignment,Hospitality and catering,/organisations/RN5217,37.0,231.0,370.0,City and Guilds of London Institute
600/6642/8,This qualification allows candidates to learn and develop the knowledge required for employment and/or career progression in the Hospitality and Catering sector.,H/504/2230,Understand the market in which an organisation operates,This unit has been devised to assess the candidates’ ability to examine their own organisation and their area of responsibility within it. They should understand how to evaluate the strengths and weaknesses of the operation in the context of emerging trends and consumer demands in hospitality services.,"1. Understand how customer needs can be identified
  - describe the economic environment in which own organisation operates
  - describe the needs of customers who use own organisation’s products and services
  - explain how to analyse customer perception of own organisation’s products and services in comparison to competitors.
2. Understand the characteristics of hospitality markets
  - describe potential trends and developments in the hospitality market
  - identify characteristics of service styles used within the hospitality industry
  - explain the benefits and limitations of service styles to the organisation
  - describe how own organisation responds to hospitality market characteristics.
3. Understand how to implement a market analysis
  - identify current and future macro and micro environment trends in own sector
  - describe current market trends and opportunities for growth relevant to own organisation
  - identify direct and indirect competitors to own organisation’s offer.
4. Understand how to report research findings to inform managerial decisions
  - report research findings to key individuals within own organisation
  - evaluate feedback on report findings from key individuals
  - describe methods used to communicate updates to reports to key individuals.",Vocationally-Related Qualification,Level 4,Practical Demonstration/Assignment,Hospitality and catering,/organisations/RN5217,37.0,231.0,370.0,City and Guilds of London Institute
600/6642/8,This qualification allows candidates to learn and develop the knowledge required for employment and/or career progression in the Hospitality and Catering sector.,K/504/2231,Understanding how to comply with legal and regulatory requirements within hospitality organisations,This unit has been devised to assess the candidates’ ability to recognise the regulatory and social parameters within which hospitality organisations operate. It also examines the courses of action that need to be put into place to ensure compliance is maintained.,"1. Understand requirements placed on hospitality organisations by legal, regulatory, ethical and social responsibilities
  - identify key legal requirements placed on hospitality organisations including those relating to: food safety, public safety, employment, financial management, data protection, trade descriptions, licensing, discrimination.
  - describe the impact of ethical guidelines upon hospitality organisations
  - explain the obligations placed on hospitality organisations by local communities
  - describe the impact that non-compliance with legal, regulatory, ethical and social responsibilities can have on hospitality organisations
  - state the impact that non-compliance with legal and regulatory requirements has upon the individual manager working within a hospitality organisation.
2. Understand how to monitor the operational compliance of a hospitality organisation in meeting legal, regulatory, ethical and social requirements
  - describe systems used to monitor compliance against food and safety regulation
  - analyse how hospitality organisations monitor programmes of work to identify compliance with ethical and social requirements.
3. Understand how to make recommendations on areas of non-compliance with legal, regulatory, ethical and social requirements
  - identify common courses of action to resolve non-compliance
  - analyse the responsibilities of the individual managers when identifying areas of non-compliance with legal, regulatory, ethical and social procedures
  - describe how recommendations for corrections to enable compliance with procedures can be made.",Vocationally-Related Qualification,Level 4,Practical Demonstration/Assignment,Hospitality and catering,/organisations/RN5217,37.0,231.0,370.0,City and Guilds of London Institute
600/6642/8,This qualification allows candidates to learn and develop the knowledge required for employment and/or career progression in the Hospitality and Catering sector.,A/504/2234,Understand how to maximise the efficient use of physical resources,This unit has been devised to assess the candidates’ understanding of how financial documents can be developed and applied in hospitality industry contexts.,"1. Understand how to manage physical resources within own area of responsibility
  - explain how to evaluate the effective and efficient use of physical resources within own area of responsibility, in line with organisational policies and procedures
  - explain the procedures for the maintenance and safe use of physical resources, in line with organisational policies and procedures
  - describe the procedures for the security of resources in line with organisational policies and procedures
  - identify opportunities for improvement in own organisation’s policies and procedures for the management of physical resources.
2. Understand how to plan and implement improvements for managing physical resources within own area of responsibility
  - describe techniques for evaluating the efficient use of physical resources
  - identify sources of information which can be used to gain up to date information regarding costs of physical resources
  - describe how to compare and contrast the selection of new physical resources
  - evaluate different methods for implementing the use of new suppliers of physical resources to an organisation.",Vocationally-Related Qualification,Level 4,Practical Demonstration/Assignment,Hospitality and catering,/organisations/RN5217,37.0,231.0,370.0,City and Guilds of London Institute
600/6642/8,This qualification allows candidates to learn and develop the knowledge required for employment and/or career progression in the Hospitality and Catering sector.,F/504/2221,Principles of financial performance management in hospitality operations,This unit has been devised to assess the candidates’ understanding of how financial documents can be developed and applied in hospitality industry contexts.,"1. Understand financial reporting systems and processes
  - identify systems for the management of budgets and finances
  - explain how financial targets can be set
  - analyse the use of financial information contained in management reports
  - explain the purpose of cost centres and devolved budgets
  - describe how financial forecasts can be developed based on historical financial data.
2. Understand the use of capital and revenue budgets in a hospitality operation
  - explain the differences between capital and revenue budgets
  - analyse the budget approval cycle and processes
  - describe the techniques used by hospitality operations to manage capital and revenue budgets
  - explain the methods used to identify variances in budgets
  - describe possible courses of action to rectify variances in budgets.
3. Understand how to manage cash flow
  - analyse the basic techniques and processes for using cash flow projections to manage the flow of cash within a hospitality operation
  - explain how a profit and loss account should be interpreted
  - explain how hospitality businesses manage cash flow.
4. Understand how to prepare financial cases for development projects
  - analyse the principles and techniques associated with preparing financial cases for development projects
  - explain how to prepare a financial case for a project within own place of work.",Vocationally-Related Qualification,Level 4,Practical Demonstration/Assignment,Hospitality and catering,/organisations/RN5217,37.0,231.0,370.0,City and Guilds of London Institute
600/6642/8,This qualification allows candidates to learn and develop the knowledge required for employment and/or career progression in the Hospitality and Catering sector.,H/504/2227,Understand how to develop hospitality teams,This unit has been devised to assess the candidates’ ability to recognise the impact that team development can have on organisational performance and how training interventions can be identified and implemented.,"1. Understand the role of training in the development of effective teams
  - explain approaches that hospitality organisations use to increase the capability and performance of teams
  - explain how training can increase the effectiveness of teams working in hospitality organisations
  - identify the existing development mechanisms available within an organisation.
2. Understand how to analyse the training needs of people in the workplace
  - explain how training needs analysis can be implemented within the workplace
  - describe how data derived from a training needs analysis can be analysed to produce reliable information
  - explain how organisational priorities can be compared and contrasted with the results of training needs analysis data.
3. Understand how to devise plans for the development of teams in the workplace to improve performance
  - explain how to balance the development needs of teams and individual team members
  - evaluate development methods and tools available within an organisation to accommodate the development needs of individuals in the workplace
  - explain how to produce a development plan to progress identified development needs
  - explain how to implement individual training interventions identified within a training plan.",Vocationally-Related Qualification,Level 4,Practical Demonstration/Assignment,Hospitality and catering,/organisations/RN5217,37.0,231.0,370.0,City and Guilds of London Institute
600/6642/8,This qualification allows candidates to learn and develop the knowledge required for employment and/or career progression in the Hospitality and Catering sector.,K/504/2228,Understand how to manage the provision of customer service in hospitality organisations,This unit has been devised to assess candidates’ understanding of the importance of customer service within hospitality organisations and how it can be evaluated and reviewed in order to improve services.,"1. Understand customer service policies within business and service contexts
  - explain reasons for using customer service policies
  - explain the purpose of evaluating a customer service policy
  - explain how the review of customer service policies can assist future staff training and development.
2. Understand how communication impacts on the promotion of a customer-focused culture
  - identify benefits and limitations of communication methods
  - analyse how communication methods can be used effectively
  - analyse how customer perception is influenced by customer service provision.
3. Understand how hospitality services to meet customer requirements and expectations can be identified
  - identify sources of data that can be used to identify customer trends for hospitality services
  - explain how hospitality services offered can be evaluated for their effectiveness in responding to customer requirements.
4. Understand how improvements to customer services can be implemented
  - identify the resources available within hospitality organisations that require use when implementing new customer services
  - explain the significance of staff training for the implementation of new customer services
  - explain why new customer services need to be implemented to take account of fluctuations in service demands
  - explain how new services can be reviewed to check that they are providing the level of customer service intended.",Vocationally-Related Qualification,Level 4,Practical Demonstration/Assignment,Hospitality and catering,/organisations/RN5217,37.0,231.0,370.0,City and Guilds of London Institute
600/6642/8,This qualification allows candidates to learn and develop the knowledge required for employment and/or career progression in the Hospitality and Catering sector.,T/504/2233,Understanding how to effectively manage the sales of hospitality services,This unit has been devised to assess the candidates’ ability to understand how sales processes in hospitality contexts can be monitored and the performance of sales focused staff increased.,"1. Understand methods of monitoring sales team performance
  - explain the importance of monitoring the sales performance of staff
  - explain the importance of providing feedback on sales performance
  - describe the use of key performance indicators in monitoring sales performance
  - explain the importance of encouraging staff to ask questions, make suggestions and seek clarification regarding hospitality products and services
  - explain the use of sales-related information in managing the sales performance of staff team members in formal performance appraisals.
2. Understand how to improve the selling skills of employees in the hospitality sector
  - identify techniques used to recognise selling situations and opportunities
  - evaluate the use of different sales and communication techniques
  - evaluate the use of negotiation skills used by staff when selling hospitality services
  - explain how to select sales techniques for the situation
  - explain how staff product knowledge can be developed
  - identify techniques and strategies used to improve sales skills and performance.
3. Understand how to improve sales within hospitality businesses
  - explain ways in which consumer behaviour impacts on the buying decisions of customers
  - explain how a competitor analysis can be implemented
  - explain how sales forecasts can be produced
  - explain how to produce sales targets based on sales forecasts
  - analyse the importance of knowing the target clients and their typical consumer behaviour
  - describe ways to create competitiveness within a business
  - explain how ‘up selling’ can be maximised within businesses.",Vocationally-Related Qualification,Level 4,Practical Demonstration/Assignment,Hospitality and catering,/organisations/RN5217,37.0,231.0,370.0,City and Guilds of London Institute
600/6642/8,This qualification allows candidates to learn and develop the knowledge required for employment and/or career progression in the Hospitality and Catering sector.,A/504/2220,Principles of bar and cellar management,This unit has been devised to assess the candidates’ ability to understand how the management of cellar and bar areas impacts on the quality of beverages.,"1. Understand the procedural requirements that impact on bar and cellar management techniques
  - describe the health and safety procedures used in the cellar and bar for own organisation
  - evaluate the skills required to work in the bar, considering current legal and social constraints
  - analyse the practices and procedures required to implement systems of control
  - evaluate the operational requirements needed to ensure consistent product quality.
2. Know how to operate bar and cellar equipment
  - compare the relative benefits of the different bar equipment available within own organisation
  - analyse how cellar equipment should be operated and maintained to maximise its operational efficiency
  - explain how cellar conditions should be maintained to ensure consistent product quality.
3. Understand the impact of technological developments
  - evaluate the technological developments in bar and cellar equipment
  - analyse the impacts that technological developments may have upon the service of beverages and maintenance of product quality.
4. Understand the impact of ethical issues on bar management techniques
  - assess the impact of ethical issues on bar management techniques
  - evaluate the key relationships that need to be effectively maintained by a licensee
  - assess the social responsibilities on the sale of alcohol.",Vocationally-Related Qualification,Level 4,Practical Demonstration/Assignment,Hospitality and catering,/organisations/RN5217,37.0,231.0,370.0,City and Guilds of London Institute
600/6642/8,This qualification allows candidates to learn and develop the knowledge required for employment and/or career progression in the Hospitality and Catering sector.,H/502/0390,The principles of food safety management for catering,This unit has been devised to assess the candidates’ ability to understand the principles of food safety management and controls.,"1. Understand how food business operators can ensure compliance with food safety legislation.
  - explain food business operator and staff responsibilities with regard to food safety legislation
  - analyse the requirements of food safety legislation and procedures for compliance and enforcement.
2. Understand the operational requirements needed to ensure food safety
  - explain how the design, layout, construction and maintenance of premises and equipment can affect food safety
  - discuss the implementation, management and application of good hygiene practices, to include cleaning, disinfection and pest control
  - explain procedures for supplier and stock control
  - describe operational methods and safe working practices.
3. Understand how to establish food safety management procedures
  - outline processes for designing and implementing food safety management procedures, including allocating resources, roles and responsibilities
  - analyse the risks to food safety from microbial, physical, chemical and allergenic hazards in a specified food business
  - communicate food safety management information to staff, visitors and suppliers
  - state the need for, and benefits of, staff training and the maintenance of training records.
4. Understand the controls required for food safety
  - review controls for microbial, physical, chemical and allergenic hazards in a specified food business
  - discuss methods for monitoring and recording food safety hazards
  - determine the corrective actions required if food safety hazards are not controlled.
5. Understand how to maintain food safety management procedures
  - explain methods for verifying the effectiveness of food safety management procedures
  - describe circumstances that require adjustment of food safety management procedures
  - describe how to implement adjustments to food safety management procedures
  - outline strategies for developing and maintaining a food safety culture within an organisation",Vocationally-Related Qualification,Level 4,Practical Demonstration/Assignment,Hospitality and catering,/organisations/RN5217,37.0,231.0,370.0,City and Guilds of London Institute
600/6642/8,This qualification allows candidates to learn and develop the knowledge required for employment and/or career progression in the Hospitality and Catering sector.,J/504/2222,Principles of food and beverage operations management,This unit has been devised to assess the candidates’ ability to understand how food and beverage service operations can be effectively implemented. This includes knowing how menus for events can be developed.,"1. Understand different food and beverage production and service styles
  - explain the characteristics of menus and food and beverage service systems
  - analyse factors affecting recipes and menus suitable for particular service systems
  - compare the costs and staffing implications for different service systems
  - justify the suitability of styles for particular food and beverage outlets.
2. Understand the financial controls used in food and beverage operations
  - explain the use of financial statements in food and beverage operations
  - illustrate the use of cost and pricing processes
  - explain how purchasing processes can be analysed.
3. Know how to develop menus suitable for hospitality
  - explain how the menu requirements of customers can be identified
  - analyse how food trends may impact on menu items included on menus
  - analyse how the balance of a menu can take account of flavours, colours, costs and styles.
4. Know how to provide food and beverage services for hospitality
  - explain how budgets for food and beverage operations should be developed
  - explain how staff may be coordinated to deliver an efficient delivery of food and beverages to customers
  - review how the quality of food and beverages can be monitored during service
  - evaluate the factors that determine the success of the service
  - explain how recommendations for improvements in service can be communicated to colleagues.",Vocationally-Related Qualification,Level 4,Practical Demonstration/Assignment,Hospitality and catering,/organisations/RN5217,37.0,231.0,370.0,City and Guilds of London Institute
600/6642/8,This qualification allows candidates to learn and develop the knowledge required for employment and/or career progression in the Hospitality and Catering sector.,L/504/2223,Principles of hospitality accommodation management,This unit has been devised to assess the candidates’ ability to understand how accommodation operations can be effectively monitored and managed to ensure sufficient revenue is obtained.,"1. Understand the provision of accommodation services in diverse contexts
  - analyse the styles of accommodation and front office services provided by different organisations
  - analyse the roles and responsibilities of accommodation and front office staff
  - explain the legal and statutory requirements that apply to accommodation services
  - evaluate the services provided by the accommodation operations of hospitality businesses.
2. Understand the impact of contemporary management issues on the effective management and business performance of accommodation services.
  - explain the importance of the accommodation offer to the performance of the organisation
  - explain the key aspects of planning and management of accommodation services for own hospitality organisation
  - critically discuss the key operational issues affecting the efficient management and business performance of the accommodation services of own hospitality organisation.
3. Understand factors that contribute to the effective management and business performance in the accommodation service function
  - describe the importance of property interiors and design to effective performance
  - explain how hygiene and laundry management practices can be evaluated
  - analyse the critical aspects of planning and management of the accommodation service function for own hospitality organisation
  - analyse key operational issues affecting the effective management and business performance of the accommodation service function for own operation.
4. Understand how to apply techniques to maximise and measure occupancy and rooms revenue
  - describe how revenue and yield management can be evaluated
  - analyse the sales techniques that rooms division staff can use to promote and maximise revenue
  - explain the purpose and use of forecasting and statistical data in the management of accommodation services
  - explain how rooms division performance indicators can be calculated.",Vocationally-Related Qualification,Level 4,Practical Demonstration/Assignment,Hospitality and catering,/organisations/RN5217,37.0,231.0,370.0,City and Guilds of London Institute
600/6642/8,This qualification allows candidates to learn and develop the knowledge required for employment and/or career progression in the Hospitality and Catering sector.,M/504/2229,Understand how to plan and manage kitchen operations,This unit has been devised to assess the candidates’ ability to understand how kitchen operations and systems should be effectively managed to ensure a consistent delivery of food.,"1. Understand systems and equipment used for volume food production in different contexts
  - compare systems of volume food production in different contexts
  - evaluate specifications for types of volume food production equipment.
2. Understand how the purchase of materials and commodities can be managed
  - explain how changing food requirements of an organisation can be identified
  - analyse how the provision of food stuffs can impact on the suppliers used
  - analyse the factors associated with supplier selection
  - explain how decision-making strategies for selecting materials and commodities can be established.
3. Understand food quality control processes and policies for volume food production
  - explain the processes required to maintain a quality assured food production process
  - describe how food preparation plans can be critically assessed
  - contrast food quality control policies currently used by commercial organisations.",Vocationally-Related Qualification,Level 4,Practical Demonstration/Assignment,Hospitality and catering,/organisations/RN5217,37.0,231.0,370.0,City and Guilds of London Institute
600/6642/8,This qualification allows candidates to learn and develop the knowledge required for employment and/or career progression in the Hospitality and Catering sector.,Y/504/2225,Principles of rooms division operations management,This unit has been devised to assess the candidates’ ability to understand how the rooms division can be effectively managed to maximise profitability. It also requires the candidate to evaluate different styles of accommodation provision.,"1. Understand services provided by the rooms division in diverse contexts
  - explain different accommodation and front office service styles offered by hospitality organisations
  - analyse the roles and responsibilities of accommodation and reception service staff.
2. Understand the impact of contemporary management issues on the effective management and business performance in the front of house area
  - state the importance of the front of house area to effective management
  - analyse the key aspects of planning and management of the front of house area for own operation
  - analyse the key operational issues affecting the management and business performance of the front office area for own operation.
3. Understand the factors that contribute to effective management and business performance in the accommodation service function
  - analyse the impact of legal and statutory requirements that apply to rooms division operations
  - assess the importance of property interiors and design to the efficient management of the operation
  - explain the critical aspects of planning and management of accommodation service functions for own operation
  - analyse the key operational issues affecting the management and business performance of the accommodation service function for own operation.",Vocationally-Related Qualification,Level 4,Practical Demonstration/Assignment,Hospitality and catering,/organisations/RN5217,37.0,231.0,370.0,City and Guilds of London Institute
603/4162/2,"The Level 3 Diploma in Craft Skills for Creative Industries covers essential craft skills, materials, design, making, and other business-related aspects of the craft sector, aimed at learners seeking to work in the creative industries.",T/505/8089,Obtain feedback from others to inform work and work practice in craft,This unit focuses on understanding the importance of feedback for self-evaluation and improvement in craft work.,"1. Understand the influence of feedback on progress at work
  - Describe own work responsibilities and job role
  - State the kinds of feedback that can inform own craft practice
  - Explain how to check if own craftwork is of the highest quality.
2. Be able to use feedback from others on craft practice
  - Agree objectives with line manager/employer and colleagues
  - Identify what has been achieved against agreed objectives
  - Use feedback from others to inform future craft practice.
3. Be able to monitor own craft practice
  - Keep records and documents of feedback received
  - Monitor own work in the light of feedback
  - Check that own craft practice is improving.",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,"The Level 3 Diploma in Craft Skills for Creative Industries covers essential craft skills, materials, design, making, and other business-related aspects of the craft sector, aimed at learners seeking to work in the creative industries.",L/505/8082,"Select and use techniques, materials, tools and equipment for craft","This unit enables learners to select and effectively use appropriate techniques, materials, tools, and equipment for craft tasks.","1. Understand the use of techniques, materials, tools and equipment for craft
  - Explain the importance of using appropriate techniques, materials, tools and equipment
  - Explain how to select the required techniques, materials, tools and equipment
  - Compare different ways to research into techniques, materials, tools and equipment.
2. Be able to develop own use of techniques, materials and tools for work
  - Conduct research to inform the selection and use of techniques, materials, tools and equipment
  - Select appropriate techniques, materials, tools and equipment to suit the task
  - Set up a safe workplace
  - Use techniques, materials, tools and equipment to produce high-quality work.
3. Be able to evaluate the use of techniques, materials, tools and equipment
  - Gain feedback on the use of techniques, materials, tools and equipment
  - Modify techniques, tools and equipment in the light of feedback.
4. Be able to carry out the correct process on all items after use
  - Document the use of techniques, materials, tools and equipment
  - Store tools, materials and equipment safely.",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,"The Level 3 Diploma in Craft Skills for Creative Industries covers essential craft skills, materials, design, making, and other business-related aspects of the craft sector, aimed at learners seeking to work in the creative industries.",R/505/8083,Use safe working practices and spaces for craft,Focuses on understanding and maintaining safe working practices in craft environments.,"1. Use safe working practices and spaces for craft
  - Explain the importance of health and safety to protect oneself and others
  - Describe potential health risks in own work space
  - Explain the need to carry out regular maintenance on materials, tools and equipment to ensure good and safe working order
  - Explain how to use appropriate materials and protective clothing to regularly clean own work space
  - Describe problems that may occur to different areas of the body in working practice.
2. Be able to maintain safe working spaces and practices
  - Research recommended safe working spaces and practices
  - Identify potential health and safety risks in own work space
3. Be able to store and dispose of materials, tools and equipment safely
  - Store materials, tools and equipment safely
  - Dispose of waste products, materials, and clothing in a safe manner",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,"The Level 3 Diploma in Craft Skills for Creative Industries covers essential craft skills, materials, design, making, and other business-related aspects of the craft sector, aimed at learners seeking to work in the creative industries.",Y/505/8084,Complete the craft making process,This unit enables learners to understand factors in finishing craft and to complete the craft making process.,"1. Understand the factors involved in finishing craft
  - Explain the importance of completing craftwork so it is ready for handling, packaging, displaying or selling
  - Explain the importance of assessing the protection or conservation needs of the craftwork and environment
2. Be able to complete the craft making process
  - Ensure that work meets its intended purpose
  - Determine whether modifications are required to the craftwork",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
603/4162/2,"The Level 3 Diploma in Craft Skills for Creative Industries covers essential craft skills, materials, design, making, and other business-related aspects of the craft sector, aimed at learners seeking to work in the creative industries.",H/505/8086,Manage time for craft work and practice,This unit enables learners to understand time management for effective craft work.,"1. Understand the importance of managing own time and commitments effectively
  - Describe methods of time and diary management
  - Explain the need to plan work to meet deadlines according to client or customer requirements
2. Be able to manage time for craft work and work practice
  - Establish work that is required with agreed timescale for completion
  - Prioritise work according to importance",Occupational Qualification,Level 2,Portfolio of Evidence,Building and construction,/organisations/RN5334,,147.0,440.0,ProQual Awarding Body
